position_id,owner,symbol,side,volume,open_magic,all_magic,open_time,close_time,open_price,close_price,pnl,result,is_closed,comments
335041130,HERMES,BTCUSD#,BUY,0.01,909002,909002,2026-06-07 14:25:12,2026-06-07 14:33:36,62557.7,62362.7,-1.95,LOSS,True,HERMES_DEMO_KELL | [sl 62376.05]
335046502,HERMES,BTCUSD#,SELL,0.01,909002,909002,2026-06-07 14:53:00,2026-06-07 14:56:52,62388.75,62441.6,-0.53,LOSS,True,HERMES_DEMO_KELL | [sl 62438.73]
335047452,HERMES,BTCUSD#,BUY,0.01,909002,909002,2026-06-07 14:59:07,2026-06-07 15:12:48,62375.6,62436.5,0.61,WIN,True,HERMES_DEMO_KELL | [sl 62440.70]
335060172,HERMES,BTCUSD#,SELL,0.01,909002,909002,2026-06-07 16:16:15,2026-06-07 16:19:16,62225.4,61908.2,3.17,WIN,True,HERMES_DEMO_KELL | [tp 61916.80]
335064979,HERMES,BTCUSD#,SELL,0.01,909002,909002,2026-06-07 16:32:50,2026-06-07 16:38:42,61897.7,61889.2,0.09,WIN,True,HERMES_DEMO_KELL | [sl 61887.70]
335070340,HERMES,BTCUSD#,SELL,0.01,909002,909002,2026-06-07 16:45:32,2026-06-07 16:48:04,61682.9,61843.8,-1.6099999999999999,LOSS,True,HERMES_DEMO_KELL | [sl 61843.76]
335082151,HERMES,BTCUSD#,SELL,0.01,909002,909002,2026-06-07 17:41:22,2026-06-07 18:17:27,61710.9,61867.4,-1.5699999999999998,LOSS,True,HERMES_DEMO_KELL | [sl 61866.29]
335090286,HERMES,BTCUSD#,BUY,0.01,909002,909002,2026-06-07 18:23:31,2026-06-07 18:30:47,62029.4,62214.9,1.8599999999999999,WIN,True,HERMES_DEMO_KELL | [tp 62213.80]
335092772,HERMES,BTCUSD#,BUY,0.01,909002,909002,2026-06-07 18:32:38,2026-06-07 18:40:42,62265.8,62025.0,-2.41,LOSS,True,HERMES_DEMO_KELL | [sl 62025.18]
335094909,HERMES,BTCUSD#,SELL,0.01,909002,909002,2026-06-07 18:41:40,2026-06-07 18:41:42,61995.3,62008.6,-0.13,LOSS,True,HERMES_DEMO_KELL | [tp 62014.00]
335098642,HERMES,BTCUSD#,SELL,0.01,909002,909002,2026-06-07 18:51:17,2026-06-07 18:51:29,61885.0,61926.5,-0.42,LOSS,True,HERMES_DEMO_KELL | [sl 61926.42]
335111133,HERMES,BTCUSD#,BUY,0.01,909002,909002,2026-06-07 19:53:38,2026-06-07 20:05:57,62190.0,61970.1,-2.2,LOSS,True,HERMES_DEMO_KELL | [sl 61972.41]
335114027,HERMES,BTCUSD#,BUY,0.01,909002,909002,2026-06-07 20:07:40,2026-06-07 20:20:30,61996.4,62221.7,2.25,WIN,True,HERMES_DEMO_KELL | [tp 62218.00]
335121180,HERMES,BTCUSD#,BUY,0.01,909002,909002,2026-06-07 20:37:15,2026-06-07 20:55:25,62235.6,62099.75,-1.3599999999999999,LOSS,True,HERMES_DEMO_KELL | [sl 62103.47]
335127397,HERMES,BTCUSD#,BUY,0.01,909002,909002,2026-06-07 21:10:10,2026-06-07 21:47:43,62257.2,62214.1,-0.43,LOSS,True,HERMES_DEMO_KELL | [sl 62214.47]
335137455,HERMES,BTCUSD#,BUY,0.01,909002,909002,2026-06-07 22:11:24,2026-06-07 22:49:51,62239.2,62111.8,-1.27,LOSS,True,HERMES_DEMO_KELL | [sl 62118.49]
335147008,HERMES,BTCUSD#,SELL,0.01,909002,909002,2026-06-07 23:07:04,2026-06-07 23:08:37,61653.6,61648.6,0.05,WIN,True,HERMES_DEMO_KELL | [tp 61652.00]
335157774,HERMES,BTCUSD#,SELL,0.01,909002,909002,2026-06-07 23:57:50,2026-06-08 00:06:52,61312.3,61564.2,-2.52,LOSS,True,HERMES_DEMO_KELL | [sl 61560.60]
335158905,HERMES,BTCUSD#,BUY,0.01,909002,909002,2026-06-08 00:06:41,2026-06-08 00:10:22,61539.9,61646.4,1.07,WIN,True,HERMES_DEMO_KELL | [tp 61644.70]
335163446,HERMES,BTCUSD#,BUY,0.01,909002,909002,2026-06-08 00:25:51,2026-06-08 01:03:00,61745.4,61824.9,0.55,WIN,True,HERMES_DEMO_KELL | [sl 61826.30]
335168828,HERMES,BTCUSD#,BUY,0.01,909002,909002,2026-06-08 01:10:29,2026-06-08 01:12:57,61830.3,61970.4,1.4,WIN,True,HERMES_DEMO_KELL | [tp 61963.30]
