timestamp_utc,timestamp_casa,hour,symbol,broker_symbol,strategy,direction,entry,stop_loss,take_profit,rr,score,grade,confidence,demo_eligible,session,smc_status,smc_score,mtfa_status,mtfa_score,top_down_status,top_down_missing,top_down_missing_fields,setup_reason,rejection_reason,final_status,sh_decision,safety_decision,router_decision,mt5_status,event_type
2026-06-20T10:30:05.293531+00:00,2026-06-20 11:30:05,2026-06-20 11:00 CASA,EURUSD,EURUSD,NONE,BUY,,,,,0,D,0,False,WEEKEND,,,,,,False,,,NO_STRATEGY_SIGNAL,NO_VALID_SETUP,REJECT,BLOCK,N/A,NOT_SENT,SETUP_HUNTER
2026-06-20T10:30:13.155322+00:00,2026-06-20 11:30:13,2026-06-20 11:00 CASA,BTCUSD#,BTCUSD#,NONE,BUY,,,,,0,D,0,False,WEEKEND,,,,,,False,,,NO_STRATEGY_SIGNAL,NO_VALID_SETUP,REJECT,PASS,N/A,NOT_SENT,SETUP_HUNTER
2026-06-20T10:30:22.244096+00:00,2026-06-20 11:30:22,2026-06-20 11:00 CASA,GOLD#,GOLD#,NONE,BUY,,,,,0,D,0,False,WEEKEND,,,,,,False,,,NO_STRATEGY_SIGNAL,NO_VALID_SETUP,REJECT,BLOCK,N/A,NOT_SENT,SETUP_HUNTER
2026-06-20T10:30:31.056757+00:00,2026-06-20 11:30:31,2026-06-20 11:00 CASA,EURUSD,EURUSD,NONE,BUY,,,,,0,D,0,False,WEEKEND,,,,,,False,,,NO_STRATEGY_SIGNAL,NO_VALID_SETUP,REJECT,BLOCK,N/A,NOT_SENT,SETUP_HUNTER
2026-06-20T10:30:39.199684+00:00,2026-06-20 11:30:39,2026-06-20 11:00 CASA,BTCUSD#,BTCUSD#,NONE,BUY,,,,,0,D,0,False,WEEKEND,,,,,,False,,,NO_STRATEGY_SIGNAL,NO_VALID_SETUP,REJECT,PASS,N/A,NOT_SENT,SETUP_HUNTER
2026-06-20T10:30:48.178835+00:00,2026-06-20 11:30:48,2026-06-20 11:00 CASA,GOLD#,GOLD#,NONE,BUY,,,,,0,D,0,False,WEEKEND,,,,,,False,,,NO_STRATEGY_SIGNAL,NO_VALID_SETUP,REJECT,BLOCK,N/A,NOT_SENT,SETUP_HUNTER
2026-06-20T10:30:56.807916+00:00,2026-06-20 11:30:56,2026-06-20 11:00 CASA,EURUSD,EURUSD,NONE,BUY,,,,,0,D,0,False,WEEKEND,,,,,,False,,,NO_STRATEGY_SIGNAL,NO_VALID_SETUP,REJECT,BLOCK,N/A,NOT_SENT,SETUP_HUNTER
2026-06-20T10:31:06.509612+00:00,2026-06-20 11:31:06,2026-06-20 11:00 CASA,BTCUSD#,BTCUSD#,NONE,BUY,,,,,0,D,0,False,WEEKEND,,,,,,False,,,NO_STRATEGY_SIGNAL,NO_VALID_SETUP,REJECT,PASS,N/A,NOT_SENT,SETUP_HUNTER
2026-06-20T10:31:15.626672+00:00,2026-06-20 11:31:15,2026-06-20 11:00 CASA,GOLD#,GOLD#,NONE,BUY,,,,,0,D,0,False,WEEKEND,,,,,,False,,,NO_STRATEGY_SIGNAL,NO_VALID_SETUP,REJECT,BLOCK,N/A,NOT_SENT,SETUP_HUNTER
2026-06-20T10:31:24.552883+00:00,2026-06-20 11:31:24,2026-06-20 11:00 CASA,EURUSD,EURUSD,NONE,BUY,,,,,0,D,0,False,WEEKEND,,,,,,False,,,NO_STRATEGY_SIGNAL,NO_VALID_SETUP,REJECT,BLOCK,N/A,NOT_SENT,SETUP_HUNTER
2026-06-20T10:31:34.619142+00:00,2026-06-20 11:31:34,2026-06-20 11:00 CASA,BTCUSD#,BTCUSD#,ORDER_FLOW_EXECUTION_AGENT,SELL,63662.5,63781.4675,63484.04875,1.5,98,A,85,True,WEEKEND,FAIL,25.0,FAIL,15.0,WAIT,False,,ORDER_FLOW_SELL_LIQUIDITY_SWEEP_REVERSAL,H1_DIRECTION_CLEAR,ACCEPTED_BUT_ROUTER_BLOCKED,ACCEPT,PASS,BLOCK,NOT_SENT,SETUP_HUNTER
2026-06-20T10:31:44.034886+00:00,2026-06-20 11:31:44,2026-06-20 11:00 CASA,GOLD#,GOLD#,NONE,BUY,,,,,0,D,0,False,WEEKEND,,,,,,False,,,NO_STRATEGY_SIGNAL,NO_VALID_SETUP,REJECT,BLOCK,N/A,NOT_SENT,SETUP_HUNTER
2026-06-20T10:31:53.061305+00:00,2026-06-20 11:31:53,2026-06-20 11:00 CASA,EURUSD,EURUSD,NONE,BUY,,,,,0,D,0,False,WEEKEND,,,,,,False,,,NO_STRATEGY_SIGNAL,NO_VALID_SETUP,REJECT,BLOCK,N/A,NOT_SENT,SETUP_HUNTER
2026-06-20T10:32:03.286987+00:00,2026-06-20 11:32:03,2026-06-20 11:00 CASA,BTCUSD#,BTCUSD#,ORDER_FLOW_EXECUTION_AGENT,SELL,63662.5,63781.4675,63484.04875,1.5,98,A,85,True,WEEKEND,FAIL,25.0,FAIL,15.0,WAIT,False,,ORDER_FLOW_SELL_LIQUIDITY_SWEEP_REVERSAL,H1_DIRECTION_CLEAR,ACCEPTED_BUT_ROUTER_BLOCKED,ACCEPT,PASS,BLOCK,NOT_SENT,SETUP_HUNTER
2026-06-20T10:32:12.286418+00:00,2026-06-20 11:32:12,2026-06-20 11:00 CASA,GOLD#,GOLD#,NONE,BUY,,,,,0,D,0,False,WEEKEND,,,,,,False,,,NO_STRATEGY_SIGNAL,NO_VALID_SETUP,REJECT,BLOCK,N/A,NOT_SENT,SETUP_HUNTER
2026-06-20T10:32:20.852183+00:00,2026-06-20 11:32:20,2026-06-20 11:00 CASA,EURUSD,EURUSD,NONE,BUY,,,,,0,D,0,False,WEEKEND,,,,,,False,,,NO_STRATEGY_SIGNAL,NO_VALID_SETUP,REJECT,BLOCK,N/A,NOT_SENT,SETUP_HUNTER
2026-06-20T10:32:30.874639+00:00,2026-06-20 11:32:30,2026-06-20 11:00 CASA,BTCUSD#,BTCUSD#,ORDER_FLOW_EXECUTION_AGENT,SELL,63654.9,63781.4599,63465.06015,1.5,98,A,85,True,WEEKEND,FAIL,20.0,FAIL,15.0,WAIT,False,,ORDER_FLOW_SELL_LIQUIDITY_SWEEP_REVERSAL,H1_DIRECTION_CLEAR,ACCEPTED_BUT_ROUTER_BLOCKED,ACCEPT,PASS,BLOCK,NOT_SENT,SETUP_HUNTER
2026-06-20T10:32:40.149421+00:00,2026-06-20 11:32:40,2026-06-20 11:00 CASA,GOLD#,GOLD#,NONE,BUY,,,,,0,D,0,False,WEEKEND,,,,,,False,,,NO_STRATEGY_SIGNAL,NO_VALID_SETUP,REJECT,BLOCK,N/A,NOT_SENT,SETUP_HUNTER
2026-06-20T10:32:49.108213+00:00,2026-06-20 11:32:49,2026-06-20 11:00 CASA,EURUSD,EURUSD,NONE,BUY,,,,,0,D,0,False,WEEKEND,,,,,,False,,,NO_STRATEGY_SIGNAL,NO_VALID_SETUP,REJECT,BLOCK,N/A,NOT_SENT,SETUP_HUNTER
2026-06-20T10:33:00.995351+00:00,2026-06-20 11:33:00,2026-06-20 11:00 CASA,BTCUSD#,BTCUSD#,ORDER_FLOW_EXECUTION_AGENT,SELL,63645.4,63781.4504,63441.3244,1.5,98,A,85,True,WEEKEND,FAIL,20.0,FAIL,15.0,WAIT,False,,ORDER_FLOW_SELL_LIQUIDITY_SWEEP_REVERSAL,H1_DIRECTION_CLEAR,ACCEPTED_BUT_ROUTER_BLOCKED,ACCEPT,PASS,BLOCK,NOT_SENT,SETUP_HUNTER
2026-06-20T10:33:11.752614+00:00,2026-06-20 11:33:11,2026-06-20 11:00 CASA,GOLD#,GOLD#,NONE,BUY,,,,,0,D,0,False,WEEKEND,,,,,,False,,,NO_STRATEGY_SIGNAL,NO_VALID_SETUP,REJECT,BLOCK,N/A,NOT_SENT,SETUP_HUNTER
2026-06-20T10:33:20.926352+00:00,2026-06-20 11:33:20,2026-06-20 11:00 CASA,EURUSD,EURUSD,NONE,BUY,,,,,0,D,0,False,WEEKEND,,,,,,False,,,NO_STRATEGY_SIGNAL,NO_VALID_SETUP,REJECT,BLOCK,N/A,NOT_SENT,SETUP_HUNTER
