atr_percentile,be_armed,close_mode,direction,dxy_trend,ees_buy_band,ees_buy_score,ees_sell_band,ees_sell_score,entry_price,exit_price,geo,grade,kill_zone_active,killswitch_daily_pnl_at_decision,killswitch_pnl_recalibrated,miners_available,momentum_alignment,momentum_consensus,mtfa,of,r_multiple,real_pnl_mt5,reason,risk_usd,row_kind,score,session,sl,smc,strategy,symbol,ticket,tp,trailing_active,ts_broker,ts_utc
,,,SELL,,,,,,,,45.73,B,,-44.85,False,,,,50.0,90.0,,,failed_gate=DAILY_KILLSWITCH_MAX_LOSSES,,REFUSE,68.43,LONDON,,80.0,ORDER_FLOW_EXECUTION_AGENT,GOLD#,,,,2026-07-08 12:58:45.700603+00:00,2026-07-08 09:58:45.700603+00:00
,,,SELL,,,,,,,,58.37,B,,-44.85,False,,,,50.0,90.0,,,failed_gate=DAILY_KILLSWITCH_MAX_LOSSES,,REFUSE,72.84,LONDON,,85.0,ORDER_FLOW_EXECUTION_AGENT,GOLD#,,,,2026-07-08 12:59:16.055135+00:00,2026-07-08 09:59:16.055135+00:00
,,,SELL,,,,,,,,58.15,B,,-44.85,False,,,,50.0,90.0,,,failed_gate=DAILY_KILLSWITCH_MAX_LOSSES,,REFUSE,72.79,LONDON,,85.0,ORDER_FLOW_EXECUTION_AGENT,GOLD#,,,,2026-07-08 12:59:45.671254+00:00,2026-07-08 09:59:45.671254+00:00
,,,SELL,,,,PRUDENCE,40.0,,,36.81,B,,-44.85,False,,,,50.0,90.0,,,failed_gate=DAILY_KILLSWITCH_MAX_LOSSES,,REFUSE,66.2,LONDON,,80.0,ORDER_FLOW_EXECUTION_AGENT,GOLD#,,,,2026-07-08 13:05:48.049288+00:00,2026-07-08 10:05:48.049288+00:00
,,,SELL,,,,PRUDENCE,40.0,,,37.16,B,,-44.85,False,,,,50.0,90.0,,,failed_gate=DAILY_KILLSWITCH_MAX_LOSSES,,REFUSE,66.29,LONDON,,80.0,ORDER_FLOW_EXECUTION_AGENT,GOLD#,,,,2026-07-08 13:06:12.445734+00:00,2026-07-08 10:06:12.445734+00:00
,,,SELL,,,,PRUDENCE,40.0,,,48.48,B,,-44.85,False,,,,50.0,98.0,,,failed_gate=DAILY_KILLSWITCH_MAX_LOSSES,,REFUSE,71.52,LONDON,,80.0,ORDER_FLOW_EXECUTION_AGENT,GOLD#,,,,2026-07-08 13:06:38.352479+00:00,2026-07-08 10:06:38.352479+00:00
,,,SELL,,,,PRUDENCE,40.0,,,38.38,B,,-44.85,False,,,,50.0,98.0,,,failed_gate=DAILY_KILLSWITCH_MAX_LOSSES,,REFUSE,69.0,LONDON,,80.0,ORDER_FLOW_EXECUTION_AGENT,GOLD#,,,,2026-07-08 13:07:03.328003+00:00,2026-07-08 10:07:03.328003+00:00
,,,SELL,,,,PRUDENCE,40.0,,,37.92,B,,-44.85,False,,,,50.0,90.0,,,failed_gate=DAILY_KILLSWITCH_MAX_LOSSES,,REFUSE,66.48,LONDON,,80.0,ORDER_FLOW_EXECUTION_AGENT,GOLD#,,,,2026-07-08 13:07:26.815724+00:00,2026-07-08 10:07:26.815724+00:00
,,,SELL,,,,PRUDENCE,40.0,,,38.36,B,,-44.85,False,,,,50.0,90.0,,,failed_gate=DAILY_KILLSWITCH_MAX_LOSSES,,REFUSE,66.59,LONDON,,80.0,ORDER_FLOW_EXECUTION_AGENT,GOLD#,,,,2026-07-08 13:07:52.552019+00:00,2026-07-08 10:07:52.552019+00:00
,,,SELL,,,,PRUDENCE,40.0,,,48.6,B,,-44.85,False,,,,50.0,90.0,,,failed_gate=DAILY_KILLSWITCH_MAX_LOSSES,,REFUSE,69.15,LONDON,,80.0,ORDER_FLOW_EXECUTION_AGENT,GOLD#,,,,2026-07-08 13:08:18.053335+00:00,2026-07-08 10:08:18.053335+00:00
