[2026-06-24T03:29:12.103156+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# BUY
[2026-06-24T03:31:42.517125+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# BUY
[2026-06-24T03:32:32.653697+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# BUY
[2026-06-24T03:35:28.338041+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# BUY
[2026-06-24T04:25:01.403512+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# SELL
[2026-06-24T04:39:13.119554+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# SELL
[2026-06-24T04:55:15.501944+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# SELL
[2026-06-24T07:01:26.603427+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# SELL
[2026-06-24T07:16:18.474403+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# SELL
[2026-06-24T07:35:56.820540+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# SELL
[2026-06-24T07:37:42.099923+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# SELL
[2026-06-24T08:28:47.760183+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# SELL
[2026-06-24T08:33:10.015258+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# BUY
[2026-06-24T09:10:33.499353+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# SELL
[2026-06-24T09:17:30.450099+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# SELL
[2026-06-24T09:32:22.857739+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# SELL
[2026-06-24T10:01:23.969996+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# SELL
[2026-06-24T10:02:49.741211+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# SELL
[2026-06-24T10:14:56.603581+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# SELL
[2026-06-24T10:17:12.556384+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# SELL
[2026-06-24T10:19:52.972801+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# SELL
[2026-06-24T10:21:38.519247+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# SELL
[2026-06-24T10:40:59.673259+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# BUY
[2026-06-24T10:43:25.517233+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# BUY
[2026-06-24T10:51:58.392547+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# SELL
[2026-06-24T10:58:16.056165+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# SELL
[2026-06-24T11:06:55.307670+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# SELL
[2026-06-24T11:09:41.767845+00:00] ALERTE — Entree avec score faible 0 < 38.0 | GOLD# SELL
[2026-06-24T11:14:14.235644+00:00] ALERTE — Entree avec score faible 0 < 38.0 | GOLD# SELL
[2026-06-24T11:15:54.756283+00:00] ALERTE — Entree avec score faible 0 < 38.0 | BTCUSD# SELL
