big_setup_direction_bias,big_setup_grade,big_setup_is_discount,big_setup_is_premium,big_setup_missing_data,big_setup_reason,big_setup_risk_ok,big_setup_safety_ok,big_setup_score,big_setup_status,big_setup_tags,big_setup_time_ok,closed_at,day_of_week,direction,entry,entry_signal_time,exit_price,exit_reason,local_hour,opened_at,pnl_money,pnl_r,result,risk_reward,safety_guard_action,safety_guard_is_weekend,safety_guard_local_hour,safety_guard_reason,safety_guard_rules_triggered,safety_guard_status,safety_guard_timezone,session,signal_before_guard,sl,spread,strategy,symbol,tp
SELL,C,,,['smc_h1_trend'],MISSING_DATA:smc_h1_trend,True,True,31,TAG_ONLY,[],True,2026-04-20T08:30:00+00:00,MONDAY,SELL,4786.35,2026-04-20T08:10:00+00:00,4791.15632,SL_HIT,9,2026-04-20T08:15:00+00:00,-50.0,-1.0,LOSS,1.997919,ALLOW_PAPER_OPEN,False,9,SAFETY_GUARD_PASS,[],PASS,Africa/Casablanca,LONDON,SELL,4791.15632,27.0,BREAKOUT_RETEST,GOLD#,4776.74736
BUY,C,,,['smc_h1_trend'],MISSING_DATA:smc_h1_trend,True,True,31,TAG_ONLY,[],True,2026-04-20T10:30:00+00:00,MONDAY,BUY,4802.63,2026-04-20T10:15:00+00:00,4796.42142857,SL_HIT,11,2026-04-20T10:20:00+00:00,-50.0,-1.0,LOSS,1.681086,ALLOW_PAPER_OPEN,False,11,SAFETY_GUARD_PASS,[],PASS,Africa/Casablanca,OFF_SESSION,BUY,4796.42142857,20.0,BREAKOUT_RETEST,GOLD#,4813.06714286
BUY,C,,,['smc_h1_trend'],MISSING_DATA:smc_h1_trend,True,True,41,TAG_ONLY,[],True,2026-04-20T13:50:00+00:00,MONDAY,BUY,4799.89,2026-04-20T13:15:00+00:00,4794.63857143,SL_HIT,14,2026-04-20T13:20:00+00:00,-50.0,-1.0,LOSS,1.906692,ALLOW_PAPER_OPEN,False,14,SAFETY_GUARD_PASS,[],PASS,Africa/Casablanca,OVERLAP,BUY,4794.63857143,20.0,BREAKOUT_RETEST,GOLD#,4809.90285714
BUY,C,,,['smc_h1_trend'],MISSING_DATA:smc_h1_trend,True,True,41,TAG_ONLY,[],True,2026-04-20T15:00:00+00:00,MONDAY,BUY,4801.75,2026-04-20T14:45:00+00:00,4811.36352,TP_HIT,16,2026-04-20T14:50:00+00:00,84.749002,1.69498,WIN,1.69498,ALLOW_PAPER_OPEN,False,15,SAFETY_GUARD_PASS,[],PASS,Africa/Casablanca,NEW_YORK,BUY,4796.07824,20.0,BREAKOUT_RETEST,GOLD#,4811.36352
BUY,C,,,['smc_h1_trend'],MISSING_DATA:smc_h1_trend,True,True,41,TAG_ONLY,[],True,2026-04-20T15:05:00+00:00,MONDAY,BUY,4810.5,2026-04-20T14:55:00+00:00,4804.13954,SL_HIT,16,2026-04-20T15:00:00+00:00,-50.0,-1.0,LOSS,1.506325,ALLOW_PAPER_OPEN,False,15,SAFETY_GUARD_PASS,[],PASS,Africa/Casablanca,NEW_YORK,BUY,4804.13954,20.0,BREAKOUT_RETEST,GOLD#,4820.08092
BUY,C,,,['smc_h1_trend'],MISSING_DATA:smc_h1_trend,True,True,41,TAG_ONLY,[],True,2026-04-20T15:25:00+00:00,MONDAY,BUY,4814.74,2026-04-20T15:15:00+00:00,4807.69928571,SL_HIT,16,2026-04-20T15:20:00+00:00,-50.0,-1.0,LOSS,1.527037,ALLOW_PAPER_OPEN,False,16,SAFETY_GUARD_PASS,[],PASS,Africa/Casablanca,NEW_YORK,BUY,4807.69928571,20.0,BREAKOUT_RETEST,GOLD#,4825.49142857
BUY,C,,,['smc_h1_trend'],MISSING_DATA:smc_h1_trend,True,True,41,TAG_ONLY,[],True,2026-04-21T01:00:00+00:00,TUESDAY,BUY,4815.42,2026-04-20T21:10:00+00:00,4825.06086,TP_HIT,2,2026-04-20T21:15:00+00:00,92.961047,1.859221,WIN,1.859221,ALLOW_PAPER_OPEN,False,22,SAFETY_GUARD_PASS,[],PASS,Africa/Casablanca,ASIA,BUY,4810.23457,20.0,BREAKOUT_RETEST,GOLD#,4825.06086
BUY,C,,,['smc_h1_trend'],MISSING_DATA:smc_h1_trend,True,True,41,TAG_ONLY,[],True,2026-04-20T22:35:00+00:00,MONDAY,BUY,4817.64,2026-04-20T22:00:00+00:00,4811.70239,SL_HIT,23,2026-04-20T22:05:00+00:00,-50.0,-1.0,LOSS,1.617691,ALLOW_PAPER_OPEN,False,23,SAFETY_GUARD_PASS,[],PASS,Africa/Casablanca,OFF_SESSION,BUY,4811.70239,20.0,BREAKOUT_RETEST,GOLD#,4827.24522
BUY,C,,,['smc_h1_trend'],MISSING_DATA:smc_h1_trend,True,True,41,TAG_ONLY,[],True,2026-04-20T22:30:00+00:00,MONDAY,BUY,4820.02,2026-04-20T22:05:00+00:00,4813.95001,SL_HIT,23,2026-04-20T22:10:00+00:00,-50.0,-1.0,LOSS,1.583195,ALLOW_PAPER_OPEN,False,23,SAFETY_GUARD_PASS,[],PASS,Africa/Casablanca,OFF_SESSION,BUY,4813.95001,20.0,BREAKOUT_RETEST,GOLD#,4829.62998
BUY,C,,,['smc_h1_trend'],MISSING_DATA:smc_h1_trend,True,True,41,TAG_ONLY,[],True,2026-04-20T22:30:00+00:00,MONDAY,BUY,4820.46,2026-04-20T22:10:00+00:00,4815.26955,SL_HIT,23,2026-04-20T22:15:00+00:00,-50.0,-1.0,LOSS,1.855504,ALLOW_PAPER_OPEN,False,23,SAFETY_GUARD_PASS,[],PASS,Africa/Casablanca,OFF_SESSION,BUY,4815.26955,20.0,BREAKOUT_RETEST,GOLD#,4830.0909
